customer_id,age,gender,country,price_sensitivity,quality_expectations,loyalty_propensity,spontaneity,social_orientation,income_level,travel_frequency
CUST-000062,41,Female,Saint Lucia,0.45,0.589,0.475,0.497,1,0.581,5
CUST-000063,40,Male,Kuwait,0.492,0.617,0.405,0.423,1,0.595,6
CUST-000064,39,Female,Mauritania,0.557,0.563,0.639,0.303,2,0.397,4
CUST-000065,31,Male,British Virgin Islands,0.48,0.65,0.468,0.511,1,0.64,6
CUST-000066,55,Male,Uzbekistan,0.279,0.804,0.937,0.271,1,1,9
CUST-000067,38,Male,Honduras,0.561,0.553,0.457,0.367,3,0.383,3
CUST-000068,40,Male,Belgium,0.584,0.635,0.533,0.523,1,0.57,6
CUST-000069,27,Female,Micronesia,0.823,0.446,0.324,0.861,1,0,3
CUST-000070,43,Male,French Polynesia,0.45,0.626,0.731,0.306,0,0.726,13
CUST-000071,47,Female,Switzerland,0.455,0.691,0.63,0.33,1,0.802,8
CUST-000072,35,Female,Niue,0.376,0.62,0.69,0.415,0,0.756,12
CUST-000073,31,Male,Niger,0.592,0.569,0.437,0.485,2,0.486,8
CUST-000074,56,Male,Turks and Caicos Islands,0.18,0.84,0.843,0.345,1,1,12
CUST-000075,48,Female,Tokelau,0.261,0.861,0.914,0.149,1,1,9
CUST-000076,40,Male,Guyana,0.484,0.527,0.579,0.526,2,0.49,6
CUST-000077,32,Male,Morocco,0.572,0.51,0.42,0.433,1,0.426,5
CUST-000078,35,Female,Congo,0.419,0.649,0.452,0.472,2,0.669,5
CUST-000079,32,Male,Romania,0.588,0.636,0.551,0.315,2,0.469,4
CUST-000080,56,Male,Bangladesh,0.202,0.905,0.812,0.12,2,1,9
CUST-000081,65,Female,Aruba,0.274,0.878,0.932,0.205,2,1,12
CUST-000082,23,Male,Panama,0.786,0.278,0.263,0.813,2,0,5
CUST-000083,43,Female,Denmark,0.456,0.788,0.787,0.33,1,0.917,14
CUST-000084,30,Male,Sierra Leone,0.405,0.646,0.532,0.588,1,0.672,4
CUST-000085,37,Male,French Guiana,0.524,0.687,0.518,0.211,3,0.563,6
CUST-000086,47,Male,Belgium,0.224,0.767,0.933,0.197,1,1,7
CUST-000087,44,Male,Timor-Leste,0.325,0.705,0.643,0.209,1,0.884,13
CUST-000088,50,Male,Djibouti,0.474,0.787,0.737,0.234,0,0.907,15
CUST-000089,38,Female,Tonga,,0.587,0.528,0.507,2,0.517,6
CUST-000090,30,Male,Bolivia,0.722,0.277,0.203,0.647,0,0,2
CUST-000091,61,Female,Hong Kong,0.27,0.819,0.817,0.102,2,1,12
CUST-000092,29,Male,Fiji,0.891,0.399,0.249,0.839,2,0,4
CUST-000093,41,Male,Korea,0.412,0.679,0.641,0.384,1,0.809,14
CUST-000094,25,Male,North Macedonia,0.806,0.26,0.291,0.873,2,0,4
CUST-000095,54,Female,Syrian Arab Republic,0.206,0.804,0.747,0.117,1,1,8
CUST-000096,38,Female,Haiti,0.424,0.654,0.756,0.247,0,0.774,10
CUST-000097,36,Other,Central African Republic,0.304,0.794,0.671,0.231,1,1,8
CUST-000098,52,Male,Heard Island and McDonald Islands,0.103,0.793,0.805,0.296,2,1,8
CUST-000099,59,Female,Guinea,0.106,0.766,0.888,0.137,2,1,12
CUST-000100,47,Male,Cote d'Ivoire,0.394,0.638,0.81,0.404,0,0.769,9
CUST-000101,52,Male,Paraguay,0.295,0.799,0.949,0.15,1,1,10
CUST-000102,38,Other,Ethiopia,0.495,0.636,0.462,0.465,1,0.616,8
CUST-000103,38,Male,Reunion,0.428,0.64,0.822,0.416,0,0.754,9
CUST-000104,39,Female,Vietnam,0.581,0.533,0.469,0.224,2,0.35,2
CUST-000105,22,Female,Pitcairn Islands,0.873,0.372,0.139,0.831,0,0,3
CUST-000106,50,Male,Oman,0.424,0.786,0.849,0.356,0,0.932,13
CUST-000107,32,Male,Barbados,0.834,0.227,0.222,0.695,2,0,4
CUST-000108,40,Female,New Caledonia,0.547,0.504,0.476,0.545,2,0.432,3
CUST-000109,47,Female,North Macedonia,0.64,0.609,0.523,0.313,3,0.41,4
CUST-000110,39,Male,Chile,0.574,0.62,0.572,0.432,1,0.557,6
CUST-000111,32,Female,Martinique,0.508,0.591,0.555,0.501,1,0.555,3
CUST-000112,31,Female,Saint Lucia,0.894,0.26,0.28,0.797,2,0,5
CUST-000113,41,Female,Ecuador,0.4,0.71,0.753,0.281,1,0.853,9
CUST-000114,38,Female,Central African Republic,0.313,0.767,0.632,0.418,0,0.964,9
CUST-000115,50,Male,Kyrgyz Republic,0.306,0.728,0.697,0.322,1,0.921,8
CUST-000116,56,Male,Hong Kong,0.244,0.753,0.93,0.264,1,1,9
CUST-000117,36,Male,Faroe Islands,0.449,0.778,0.806,0.399,0,0.909,12
CUST-000118,36,Female,Uzbekistan,0.467,0.616,0.654,0.33,0,0.705,11
CUST-000119,62,Male,Northern Mariana Islands,0.139,0.881,0.843,0.337,2,1,11
CUST-000120,29,Female,Portugal,0.515,0.635,0.541,0.485,1,0.604,4
CUST-000121,37,Female,Moldova,0.626,0.632,0.533,0.32,3,0.445,4
CUST-000122,42,Female,Cyprus,0.603,0.627,0.607,0.265,2,0.45,6
CUST-000123,62,Male,Poland,0.253,0.935,0.764,0.34,2,1,9
CUST-000124,22,Female,Greece,0.946,0.349,0.229,0.898,1,0,2
CUST-000125,44,Other,Tajikistan,0.343,0.663,0.793,0.436,1,0.824,10
CUST-000126,35,Male,Seychelles,0.589,0.528,0.492,0.316,2,0.339,4
CUST-000127,54,Male,Singapore,0.18,0.934,0.884,0.281,2,1,7
CUST-000128,29,Female,Azerbaijan,0.872,0.344,0.327,0.779,1,0,2
CUST-000129,31,Male,Denmark,0.895,0.43,0.184,0.864,1,0,5
CUST-000130,42,Female,Swaziland,0.574,0.545,0.531,0.52,1,0.467,8
CUST-000131,32,Male,Antigua and Barbuda,0.776,0.21,0.235,0.645,2,0,3
CUST-000132,49,Male,Sri Lanka,0.246,0.829,0.811,0.249,1,1,7
CUST-000133,58,Male,Germany,0.179,0.776,0.721,0.243,1,1,10
CUST-000134,44,Male,Iran,0.6,0.587,0.574,0.352,3,0.404,6
CUST-000135,51,Female,Ethiopia,0.23,0.789,0.854,0.284,1,1,7
CUST-000136,47,Male,Bahrain,0.186,0.887,0.844,0.128,2,1,9
CUST-000137,46,Male,Croatia,0.364,0.719,0.606,0.276,1,0.88,15
CUST-000138,37,Male,United States Minor Outlying Islands,0.409,0.664,0.44,0.475,1,0.692,3
CUST-000139,46,Male,Western Sahara,0.224,0.78,0.908,0.172,2,1,11
CUST-000140,35,Male,Montenegro,0.618,0.566,0.585,0.242,3,0.371,6
CUST-000141,50,Female,Turkey,0.498,0.739,0.767,0.294,0,0.838,12
CUST-000142,37,Male,Saint Barthelemy,0.55,0.639,0.468,0.293,2,0.492,2
CUST-000143,47,Female,Germany,0.433,0.783,0.69,0.227,1,0.923,14
CUST-000144,25,Other,Croatia,0.827,0.377,0.326,0.745,2,0,2
CUST-000145,30,Male,Palau,0.593,0.612,0.542,0.408,2,0.538,5
CUST-000146,29,Male,Luxembourg,0.739,0.287,0.188,0.788,0,0,4
CUST-000147,22,Female,Indonesia,0.92,0.423,0.304,0.609,2,0,4
CUST-000148,31,Male,Turks and Caicos Islands,0.579,0.631,0.418,0.476,1,0.568,6
CUST-000149,52,Female,United States Virgin Islands,0.185,0.812,0.851,0.212,1,1,7
CUST-000150,65,Male,Norway,0.208,0.91,0.916,0.177,1,1,9
CUST-000151,39,Female,Kuwait,0.413,0.632,0.617,0.333,0,0.751,10
CUST-000152,55,Female,Cambodia,0.129,0.756,0.78,0.343,2,1,8
CUST-000153,49,Female,Estonia,0.464,0.727,0.785,0.238,0,0.841,9
CUST-000154,49,Male,Burundi,0.252,0.872,0.767,0.242,1,1,10
CUST-000155,25,Male,Egypt,0.707,0.22,0.295,0.64,2,0,5
CUST-000156,65,Male,Samoa,0.27,0.848,0.734,0.148,1,1,9
CUST-000157,45,Female,Monaco,0.29,0.795,0.868,0.151,1,1,6
CUST-000158,40,Female,Mauritania,0.497,0.773,0.722,0.281,1,0.88,11
CUST-000159,58,Male,Estonia,0.108,0.897,0.795,0.178,1,1,10
CUST-000160,35,Male,San Marino,0.707,0.508,0.649,0.304,3,0.257,2
CUST-000161,47,Female,Myanmar,0.426,0.61,0.673,0.3,1,0.719,12
CUST-000162,59,Male,Japan,0.159,0.934,0.872,0.326,2,1,12
CUST-000163,49,Male,Ukraine,0.4,0.636,0.746,0.424,0,0.763,14
CUST-000164,48,Male,Myanmar,0.305,0.691,0.824,0.424,1,0.876,9
CUST-000165,40,Male,Iran,0.662,0.642,0.441,0.347,2,0.44,2
CUST-000166,59,Female,Guyana,0.117,0.891,0.882,0.344,1,1,9
CUST-000167,30,Male,Cyprus,0.892,0.428,0.241,0.798,0,0,3
CUST-000168,24,Male,Burundi,0.878,0.305,0.177,0.831,1,0,4
CUST-000169,37,Male,Malawi,0.533,0.541,0.556,0.251,3,0.382,5
CUST-000170,29,Female,Lithuania,0.701,0.421,0.159,0.777,1,0,5
CUST-000171,48,Male,Bermuda,0.42,0.601,0.821,0.27,0,0.711,8
CUST-000172,30,Male,Saudi Arabia,0.531,0.507,0.571,0.533,2,0.443,5
CUST-000173,23,Male,Australia,0.804,0.245,0.268,0.783,2,0,3
CUST-000174,49,Female,Tokelau,0.372,0.607,0.792,0.281,1,0.743,9
CUST-000175,48,Female,Bouvet Island (Bouvetoya),0.313,0.694,0.631,0.415,1,0.877,14
CUST-000176,30,Male,Cape Verde,0.752,0.215,0.243,0.894,2,0,2
CUST-000177,35,Female,Niue,0.521,0.658,0.541,0.485,2,0.629,5
CUST-000178,48,Female,Cayman Islands,0.656,0.685,0.554,0.299,3,0.495,5
CUST-000179,50,Female,Somalia,0.147,0.808,0.748,0.13,2,1,11
CUST-000180,35,Female,Pitcairn Islands,0.552,0.623,0.504,0.209,3,0.472,6
CUST-000181,38,Male,Jamaica,0.55,0.556,0.598,0.262,3,0.392,2
CUST-000182,23,Female,Nepal,0.785,0.381,0.254,0.609,0,0,3
CUST-000183,55,Female,Bahrain,0.284,0.846,0.819,0.109,1,1,9
CUST-000184,36,Female,Hungary,0.723,0.607,0.484,0.357,3,0.367,2
CUST-000185,41,Female,Hong Kong,0.513,0.636,0.511,0.404,2,0.606,5
CUST-000186,29,Other,Nepal,0.456,0.506,0.597,0.525,1,0.479,7
CUST-000187,31,Male,Lao People's Democratic Republic,0.849,0.416,0.288,0.812,1,0,2
CUST-000188,32,Male,Marshall Islands,0.499,0.548,0.49,0.59,1,0.507,7
CUST-000189,41,Male,El Salvador,0.594,0.507,0.451,0.219,2,0.312,5
CUST-000190,61,Male,Micronesia,0.168,0.847,0.918,0.178,2,1,7
CUST-000191,35,Female,Tokelau,0.735,0.635,0.433,0.345,3,0.395,5
CUST-000192,39,Female,Western Sahara,0.423,0.562,0.409,0.57,1,0.563,5
CUST-000193,59,Female,Algeria,0.121,0.903,0.886,0.106,2,1,11
CUST-000194,42,Male,Pitcairn Islands,0.44,0.557,0.506,0.555,1,0.549,5
CUST-000195,39,Male,Saint Helena,0.323,0.792,0.74,0.226,1,0.989,13
CUST-000196,40,Male,Brazil,0.676,0.557,0.461,0.214,3,0.33,6
CUST-000197,29,Male,Pitcairn Islands,0.707,0.426,0.113,0.715,0,0,5
CUST-000198,34,Male,Turks and Caicos Islands,0.519,0.619,0.567,0.54,2,0.583,5
CUST-000199,42,Female,Mauritania,0.678,0.634,0.533,0.395,3,0.422,6
CUST-000200,24,Male,Sao Tome and Principe,0.901,0.375,0.124,0.693,2,0,5
CUST-000201,47,Male,Ethiopia,0.556,0.672,0.554,0.383,3,0.529,3
CUST-000202,32,Male,Seychelles,0.915,0.281,0.222,0.62,0,0,4
CUST-000203,35,Male,Norway,0.434,0.654,0.521,0.425,1,0.667,6
CUST-000204,48,Male,Guam,0.23,0.908,0.833,0.2,2,1,7
CUST-000205,31,Male,Bouvet Island (Bouvetoya),0.74,0.321,0.117,0.662,2,0,5
CUST-000206,45,Female,French Polynesia,0.586,0.639,0.443,0.334,3,0.474,2
CUST-000207,31,Female,Jordan,0.781,0.224,0.211,0.692,1,0,2
CUST-000208,38,Female,Cayman Islands,0.419,0.764,0.682,0.361,0,0.907,9
CUST-000209,41,Female,Korea,0.477,0.781,0.759,0.2,0,0.898,10
CUST-000210,35,Female,Afghanistan,0.478,0.616,0.439,0.536,2,0.6,5
CUST-000211,41,Female,Zimbabwe,0.734,0.644,0.629,0.398,2,0.405,6
CUST-000212,47,Female,Saint Helena,0.471,0.612,0.825,0.442,0,0.7,13
CUST-000213,35,Female,Turkey,0.716,0.547,0.576,0.279,3,0.298,5
CUST-000214,57,Male,Saint Helena,0.209,0.882,0.819,0.147,2,1,12
CUST-000215,43,Female,Estonia,0.539,0.699,0.568,0.227,2,0.57,2
CUST-000216,36,Female,Macao,0.622,0.587,0.648,0.217,3,0.394,5
CUST-000217,42,Female,Serbia,0.521,0.585,0.436,0.502,2,0.542,6
CUST-000218,46,Male,Christmas Island,0.385,0.601,0.725,0.383,1,0.729,14
CUST-000219,30,Female,Madagascar,0.708,0.209,0.221,0.711,2,0,5
CUST-000220,23,Male,United States Minor Outlying Islands,0.883,0.446,0.346,0.834,1,0,2
CUST-000221,48,Female,Botswana,0.522,0.594,0.585,0.392,2,0.452,6
CUST-000222,40,Female,Trinidad and Tobago,0.523,0.681,0.507,0.402,2,0.656,7
CUST-000223,29,Female,Niue,0.783,0.288,0.344,0.688,0,0,2
CUST-000224,64,Female,French Southern Territories,0.245,0.863,0.715,0.218,1,1,10
CUST-000225,22,Female,Tajikistan,0.773,0.384,0.107,0.745,0,0,2
CUST-000226,26,Male,Northern Mariana Islands,0.854,0.269,0.164,0.822,2,0,3
CUST-000227,63,Female,Madagascar,0.232,0.824,0.744,0.296,1,1,9
CUST-000228,24,Female,New Caledonia,0.916,0.286,0.121,0.644,0,0,5
CUST-000229,45,Female,Congo,0.559,0.588,0.559,0.242,3,0.426,2
CUST-000230,32,Male,Cape Verde,0.905,0.213,0.216,0.743,1,0,3
CUST-000231,34,Female,Holy See (Vatican City State),0.478,0.553,0.506,0.487,2,0.524,6
CUST-000232,28,Female,Serbia,0.94,0.371,0.11,0.875,2,0,4
CUST-000233,58,Female,Central African Republic,0.23,0.805,0.768,0.301,2,1,11
CUST-000234,63,Male,Mauritius,0.255,0.9,0.884,0.247,1,1,10
CUST-000235,55,Female,Zimbabwe,0.299,0.813,0.703,0.102,1,1,6
CUST-000236,34,Male,Slovakia (Slovak Republic),0.421,0.589,0.444,0.457,1,0.597,3
CUST-000237,22,Female,Uzbekistan,0.714,0.349,0.323,0.665,2,0,2
CUST-000238,39,Female,Marshall Islands,0.417,0.621,0.475,0.553,1,0.636,3
CUST-000239,24,Male,Uruguay,0.817,0.434,0.26,0.877,1,0,5
CUST-000240,39,Female,Afghanistan,0.554,0.565,0.432,0.415,1,0.501,6
CUST-000241,28,Male,Netherlands Antilles,0.715,0.439,0.166,0.732,1,0,3
CUST-000242,44,Male,Gibraltar,0.623,0.529,0.592,0.244,2,0.323,5
CUST-000243,40,Male,Liechtenstein,0.518,0.614,0.463,0.289,3,0.478,3
CUST-000244,38,Female,Andorra,0.587,0.633,0.453,0.54,2,0.566,7
CUST-000245,22,Female,Bouvet Island (Bouvetoya),0.935,0.323,0.209,0.853,0,0,3
CUST-000246,22,Male,Vanuatu,0.872,0.395,0.13,0.761,1,0,4
CUST-000247,44,Male,Guyana,0.426,0.792,0.623,0.334,1,0.937,9
CUST-000248,46,Female,Turkey,0.572,0.541,0.539,0.394,2,0.363,4
CUST-000249,28,Female,Switzerland,0.858,0.29,0.121,0.79,2,0,3
CUST-000250,24,Male,Sri Lanka,0.706,0.449,0.16,0.717,2,0,4
CUST-000251,35,Female,Gambia,0.567,0.59,0.599,0.407,1,0.524,5
CUST-000252,40,Female,Dominican Republic,0.481,0.542,0.531,0.505,1,0.51,8
CUST-000253,63,Male,Azerbaijan,0.114,0.897,0.822,0.105,1,1,7
CUST-000254,36,Male,Dominican Republic,0.658,0.681,0.605,0.219,2,0.488,6
CUST-000255,37,Female,Turkey,0.321,0.699,0.8,0.255,0,0.879,14
CUST-000256,55,Female,Montenegro,0.296,0.886,0.781,0.344,1,1,8
CUST-000257,41,Female,Yemen,0.419,0.667,0.63,0.235,1,0.791,10
CUST-000258,39,Male,Belgium,0.433,0.549,0.516,0.427,2,0.542,4
CUST-000259,28,Female,Belize,0.416,0.501,0.585,0.541,2,0.494,6
CUST-000260,50,Female,Saint Martin,0.341,0.728,0.731,0.303,0,0.903,8
CUST-000261,64,Male,Libyan Arab Jamahiriya,0.2,0.94,0.857,0.296,2,1,9
CUST-000262,45,Female,Suriname,0.138,0.947,0.944,0.255,1,1,9
CUST-000263,32,Female,Bangladesh,0.769,0.248,0.299,0.806,1,0,5
CUST-000264,30,Male,Senegal,0.585,0.511,0.473,0.442,2,0.421,5
CUST-000265,49,Male,Martinique,0.448,0.785,0.644,0.396,1,0.918,9
CUST-000266,23,Female,Seychelles,0.88,0.348,0.181,0.66,2,0,4
CUST-000267,52,Female,Brunei Darussalam,0.165,0.77,0.884,0.317,2,1,7
CUST-000268,29,Male,Brunei Darussalam,0.497,0.678,0.429,0.586,2,0.665,4
CUST-000269,28,Male,Palestinian Territory,0.814,0.249,0.19,0.681,1,0,3
CUST-000270,22,Female,Lebanon,0.715,0.234,0.313,0.738,0,0,4
CUST-000271,39,Female,Yemen,0.651,0.658,0.559,0.322,2,0.464,6
CUST-000272,30,Female,Mexico,0.722,0.414,0.222,0.899,2,0,5
CUST-000273,59,Male,Chad,0.246,0.897,0.762,0.182,1,1,10
CUST-000274,39,Female,Estonia,0.48,0.684,0.611,0.448,0,0.78,14
CUST-000275,47,Male,Marshall Islands,0.46,0.764,0.713,0.26,0,0.887,14
CUST-000276,31,Male,Tunisia,0.459,0.63,0.418,0.496,2,0.626,4
CUST-000277,49,Female,New Caledonia,0.449,0.605,0.714,0.393,1,0.701,10
CUST-000278,46,Female,Jamaica,0.441,0.6,0.757,0.296,1,0.7,8
CUST-000279,54,Male,Croatia,0.154,0.939,0.836,0.299,1,1,10
CUST-000280,55,Female,Vanuatu,0.111,0.939,0.869,0.322,1,1,9
CUST-000281,56,Male,Mauritius,0.108,0.823,0.862,0.276,1,1,7
CUST-000282,55,Male,Saudi Arabia,0.123,0.846,0.935,0.245,1,1,12
CUST-000283,42,Male,Saint Lucia,0.48,0.701,0.706,0.214,1,0.801,13
CUST-000284,35,Female,Portugal,0.505,0.525,0.542,0.536,2,0.477,6
CUST-000285,37,Male,Cook Islands,0.535,0.639,0.596,0.577,1,0.599,6
CUST-000286,34,Male,Rwanda,0.724,0.558,0.639,0.222,3,0.307,2
CUST-000287,24,Female,Georgia,0.919,0.33,0.257,0.688,2,0,3
CUST-000288,60,Male,Iran,0.189,0.879,0.773,0.116,1,1,12
CUST-000289,45,Male,Paraguay,0.369,0.729,0.682,0.348,1,0.891,15
CUST-000290,41,Female,Pakistan,0.725,0.561,0.597,0.245,3,0.311,4
CUST-000291,40,Female,Holy See (Vatican City State),0.43,0.557,0.591,0.524,1,0.553,8
CUST-000292,41,Male,Kazakhstan,0.544,0.642,0.626,0.359,2,0.498,3
CUST-000293,38,Male,United Arab Emirates,0.363,0.625,0.665,0.246,0,0.769,13
CUST-000294,56,Male,Maldives,0.19,0.945,0.833,0.13,1,1,9
CUST-000295,50,Female,Korea,0.49,0.786,0.639,0.443,1,0.898,12
CUST-000296,29,Female,British Indian Ocean Territory (Chagos Archipelago),0.942,0.389,0.349,0.8,2,0,5
CUST-000297,55,Female,Egypt,0.246,0.93,0.735,0.238,2,1,6
CUST-000298,44,Female,Czech Republic,0.555,0.571,0.482,0.322,2,0.408,6
CUST-000299,42,Female,Bahrain,0.453,0.639,0.621,0.412,0,0.74,14
CUST-000300,25,Female,Guadeloupe,0.851,0.328,0.114,0.8,1,0,3
CUST-000301,39,Female,Angola,0.474,0.575,0.457,0.47,2,0.553,7
CUST-000302,23,Male,Namibia,0.922,0.385,0.204,0.733,0,0,5
CUST-000303,39,Female,Micronesia,0.428,0.617,0.417,0.442,2,0.627,7
CUST-000304,42,Male,Denmark,0.74,0.651,0.422,0.282,3,0.411,5
CUST-000305,40,Female,Namibia,0.442,0.751,0.634,0.247,1,0.88,12
CUST-000306,47,Male,Cyprus,0.707,0.667,0.476,0.312,3,0.447,3
CUST-000307,35,Female,Albania,0.331,0.66,0.76,0.359,0,0.827,12
CUST-000308,45,Male,Barbados,0.727,0.629,0.407,0.353,3,0.391,2
CUST-000309,64,Female,Russian Federation,0.216,0.863,0.917,0.257,2,1,11
CUST-000310,48,Male,Norfolk Island,0.247,0.754,0.765,0.245,1,1,8
CUST-000311,35,Female,Bahamas,0.427,0.533,0.455,0.484,2,0.526,3
CUST-000312,26,Male,Denmark,0.86,0.219,0.148,0.788,0,0,3
CUST-000313,42,Female,Bangladesh,0.707,0.637,0.475,0.337,3,0.411,2
CUST-000314,62,Female,United Kingdom,0.265,0.753,0.83,0.193,2,1,9
CUST-000315,55,Female,Antigua and Barbuda,0.133,0.794,0.826,0.308,1,1,9
CUST-000316,29,Female,Tokelau,0.729,0.233,0.104,0.704,2,0,4
CUST-000317,39,Female,Greenland,0.478,0.72,0.791,0.286,1,0.824,8
CUST-000318,35,Male,Barbados,0.714,0.528,0.457,0.225,2,0.277,2
CUST-000319,48,Female,Malaysia,0.457,0.616,0.794,0.389,0,0.71,11
CUST-000320,35,Male,Dominica,0.665,0.619,0.517,0.382,2,0.41,2
CUST-000321,54,Female,Fiji,0.251,0.906,0.93,0.151,1,1,7
CUST-000322,56,Male,Paraguay,0.129,0.899,0.769,0.245,2,1,7
CUST-000323,48,Female,Libyan Arab Jamahiriya,0.653,0.601,0.417,0.364,2,0.395,6
CUST-000324,31,Female,Croatia,0.593,0.534,0.551,0.401,1,0.445,4
CUST-000325,48,Female,Mauritius,0.619,0.64,0.446,0.335,2,0.458,3
CUST-000326,27,Other,Bulgaria,0.806,0.329,0.202,0.828,1,0,2
CUST-000327,35,Male,Saint Kitts and Nevis,0.427,0.652,0.541,0.511,1,0.669,3
CUST-000328,42,Female,Vietnam,0.596,0.591,0.584,0.337,3,0.412,3
CUST-000329,45,Male,Turkmenistan,0.714,0.538,0.417,0.368,3,0.288,4
CUST-000330,37,Male,Montserrat,0.669,0.634,0.499,0.305,2,0.427,2
CUST-000331,39,Male,Morocco,0.439,0.796,0.785,0.423,0,0.935,9
