booking_id,customer_id,hotel_id,hotel_name,hotel_region,booking_date,check_in_date,check_out_date,nights_stay,lead_time_days,guest_type,num_guests,room_type,total_amount,avg_daily_rate,season,loyalty_tier,booking_channel,payment_type,is_cancelled,special_request,promotion_applied,purpose_of_visit,customer_age,customer_gender
BKG-0000013,CUST-003468,H003,Cinnamon Red Colombo,Colombo,4/23/2025,5/8/2025,5/10/2025,2,15,Solo,1,Standard,252.68,126.34,Peak,None,Mobile App,Card,0,None,1,Event,28,Female
BKG-0000014,CUST-000112,H006,Cinnamon Citadel Kandy,Kandy,11/24/2025,12/14/2025,12/15/2025,1,20,Family,3,Standard,164.55,164.55,Peak,None,Mobile App,Card,0,None,0,Leisure,31,Female
BKG-0000015,CUST-003014,H007,Cinnamon Wild Yala,Safari,4/21/2025,5/28/2025,6/2/2025,5,37,Family,3,Deluxe,1183.75,236.75,Peak,Silver,Mobile App,Online,0,Extra Bed,1,Business,34,Other
BKG-0000016,CUST-001197,H005,Cinnamon Bey Beruwala,West Coast,4/2/2025,5/7/2025,5/8/2025,1,35,Couple,2,Standard,160.56,160.56,Peak,None,Mobile App,Card,0,None,0,Leisure,24,Female
BKG-0000017,CUST-003799,H001,Cinnamon Grand Colombo,Colombo,3/13/2026,5/23/2026,5/30/2026,7,71,Couple,2,Suite,3926.44,560.92,Peak,Gold,Travel Agent,Card,0,Quiet Room,0,Leisure,37,Male
BKG-0000018,CUST-003382,H003,Cinnamon Red Colombo,Colombo,1/15/2025,2/28/2025,3/3/2025,3,44,Couple,2,Standard,433.11,144.37,Peak,None,Mobile App,Cash,1,None,0,Leisure,31,Other
BKG-0000019,CUST-003192,H007,Cinnamon Wild Yala,Safari,1/6/2025,2/26/2025,2/28/2025,2,51,Family,5,Family Room,763.96,381.98,Holiday,None,Mobile App,Card,0,None,0,Leisure,38,Female
BKG-0000020,CUST-004991,H004,Cinnamon Bentota Beach,South Coast,4/30/2026,7/8/2026,7/11/2026,3,69,Family,3,Standard,656.7,218.9,Holiday,Silver,Walk-in,Card,0,Extra Bed,0,Business,44,Female
BKG-0000021,CUST-003020,H004,Cinnamon Bentota Beach,South Coast,5/13/2025,6/29/2025,7/2/2025,3,47,Family,3,Deluxe,669.48,223.16,Peak,None,Walk-in,Cash,0,Extra Bed,1,Business,47,Male
BKG-0000022,CUST-002384,H003,Cinnamon Red Colombo,Colombo,12/29/2025,2/6/2026,2/9/2026,3,39,Family,5,Family Room,662.28,220.76,Peak,None,Mobile App,Cash,0,Extra Bed,0,Leisure,31,Female
BKG-0000023,CUST-002614,H001,Cinnamon Grand Colombo,Colombo,12/27/2025,4/10/2026,4/16/2026,6,104,Couple,2,Deluxe,1603.5,267.25,Shoulder,Gold,Travel Agent,Cash,0,Quiet Room,0,Event,47,Female
BKG-0000024,CUST-004066,H005,Cinnamon Bey Beruwala,West Coast,4/11/2025,6/25/2025,6/27/2025,2,75,Group,5,Family Room,528.48,264.24,Peak,None,Website,Online,0,None,0,Business,41,Female
BKG-0000025,CUST-004888,H006,Cinnamon Citadel Kandy,Kandy,1/17/2026,3/7/2026,3/8/2026,1,49,Family,5,Family Room,203.78,203.78,Shoulder,None,Mobile App,Online,0,None,0,Event,23,Female
BKG-0000026,CUST-002531,H001,Cinnamon Grand Colombo,Colombo,12/1/2025,2/20/2026,2/23/2026,3,81,Couple,2,Suite,1300.89,433.63,Shoulder,Gold,Website,Card,0,Sea View,0,Culture,,Female
BKG-0000027,CUST-004365,H002,Cinnamon Lakeside Colombo,Colombo,3/4/2026,5/22/2026,5/27/2026,5,79,Couple,2,Suite,1683,336.6,Off-Peak,Platinum,Travel Agent,Card,0,Extra Bed,0,Leisure,37,Female
BKG-0000028,CUST-001380,H005,Cinnamon Bey Beruwala,West Coast,4/8/2026,5/17/2026,5/19/2026,2,39,Solo,1,Standard,406.68,203.34,Holiday,None,Mobile App,Card,0,Extra Bed,0,Business,22,Male
BKG-0000029,CUST-000420,H005,Cinnamon Bey Beruwala,West Coast,9/25/2025,10/31/2025,11/2/2025,2,36,Family,5,Family Room,339.5,169.75,Off-Peak,None,Travel Agent,Card,0,Extra Bed,0,Leisure,29,Male
BKG-0000030,CUST-003146,H006,Cinnamon Citadel Kandy,Kandy,5/5/2026,6/5/2026,6/6/2026,1,31,Family,4,Standard,157.97,157.97,Peak,None,Mobile App,Card,0,None,0,Leisure,31,Female
BKG-0000031,CUST-001751,H001,Cinnamon Grand Colombo,Colombo,9/24/2025,11/30/2025,12/6/2025,6,67,Family,5,Family Room,1699.86,283.31,Off-Peak,Silver,Website,Card,0,Quiet Room,0,Business,47,Male
BKG-0000032,CUST-003949,H002,Cinnamon Lakeside Colombo,Colombo,2/15/2025,5/4/2025,5/9/2025,5,78,Couple,2,Suite,1702.2,340.44,Shoulder,Platinum,Website,Cash,0,High Floor,1,Event,50,Male
BKG-0000033,CUST-003762,H006,Cinnamon Citadel Kandy,Kandy,12/12/2025,12/23/2025,12/25/2025,2,11,Solo,1,Standard,215.24,107.62,Off-Peak,None,Mobile App,Card,0,None,0,Business,24,Male
BKG-0000034,CUST-001168,H001,Cinnamon Grand Colombo,Colombo,12/9/2024,2/13/2025,2/18/2025,5,66,Couple,2,Suite,2750.55,550.11,Peak,Platinum,Mobile App,Cash,0,Quiet Room,0,Relaxation,62,Other
BKG-0000035,CUST-002551,H002,Cinnamon Lakeside Colombo,Colombo,5/31/2025,8/6/2025,8/9/2025,3,67,Solo,1,Suite,1216.68,405.56,Shoulder,Platinum,Travel Agent,Online,0,High Floor,0,Leisure,43,Male
BKG-0000036,CUST-000832,H004,Cinnamon Bentota Beach,South Coast,4/12/2025,5/30/2025,6/4/2025,5,48,Couple,2,Standard,615.05,123.01,Shoulder,Silver,Mobile App,Card,0,None,1,Leisure,42,Female
BKG-0000037,CUST-001475,H001,Cinnamon Grand Colombo,Colombo,5/28/2025,7/5/2025,7/8/2025,3,38,Couple,2,Standard,923.79,307.93,Holiday,None,Website,Card,0,None,0,Event,39,Other
BKG-0000038,CUST-000193,H002,Cinnamon Lakeside Colombo,Colombo,12/30/2024,4/5/2025,4/10/2025,5,96,Family,3,Suite,1951,390.2,Shoulder,Platinum,Travel Agent,Card,0,Quiet Room,0,Leisure,59,Female
BKG-0000039,CUST-002772,H002,Cinnamon Lakeside Colombo,Colombo,10/12/2025,12/5/2025,12/8/2025,3,54,Couple,2,Deluxe,1132.29,377.43,Holiday,Platinum,Travel Agent,Card,0,Late Check-in,0,Business,46,Male
BKG-0000040,CUST-003506,H006,Cinnamon Citadel Kandy,Kandy,4/16/2026,7/1/2026,7/3/2026,2,76,Family,4,Standard,215.44,107.72,Off-Peak,None,Walk-in,Card,0,None,0,Business,38,Male
BKG-0000041,CUST-003567,H002,Cinnamon Lakeside Colombo,Colombo,1/30/2026,4/8/2026,4/16/2026,8,68,Couple,2,Deluxe,1708.88,213.61,Off-Peak,Platinum,Website,Card,0,Quiet Room,0,Event,50,Male
BKG-0000042,CUST-001622,H003,Cinnamon Red Colombo,Colombo,12/30/2025,2/19/2026,2/21/2026,2,51,Couple,2,Standard,183.86,91.93,Off-Peak,None,Mobile App,Card,0,None,0,Business,34,Female
BKG-0000043,CUST-000271,H007,Cinnamon Wild Yala,Safari,5/7/2025,6/28/2025,7/1/2025,3,52,Family,5,Family Room,649.74,216.58,Off-Peak,Silver,Website,Card,0,None,0,Leisure,39,Female
BKG-0000044,CUST-001377,H006,Cinnamon Citadel Kandy,Kandy,6/13/2025,8/16/2025,8/18/2025,2,64,Family,3,Deluxe,292.34,146.17,Off-Peak,None,Website,Cash,0,Extra Bed,0,Event,48,Female
BKG-0000045,CUST-002910,H005,Cinnamon Bey Beruwala,West Coast,1/28/2025,2/16/2025,2/18/2025,2,19,Couple,2,Standard,344.94,172.47,Peak,None,Mobile App,Cash,0,Extra Bed,0,Event,23,Female
BKG-0000046,CUST-004683,H002,Cinnamon Lakeside Colombo,Colombo,3/3/2025,6/14/2025,6/18/2025,4,103,Solo,1,Suite,1392.44,348.11,Off-Peak,Platinum,Mobile App,Card,0,High Floor,0,Business,50,Male
BKG-0000047,CUST-002793,H003,Cinnamon Red Colombo,Colombo,8/28/2025,11/17/2025,11/21/2025,4,81,Family,5,Family Room,619.04,154.76,Shoulder,None,Mobile App,Cash,1,None,1,Business,41,Male
BKG-0000048,CUST-003310,H004,Cinnamon Bentota Beach,South Coast,1/5/2025,3/16/2025,3/19/2025,3,70,Couple,2,Deluxe,604.59,201.53,Shoulder,Silver,Website,Card,0,None,0,Business,42,Female
BKG-0000049,CUST-001589,H002,Cinnamon Lakeside Colombo,Colombo,12/22/2025,2/24/2026,2/27/2026,3,64,Solo,1,Suite,1230.33,410.11,Shoulder,Gold,Travel Agent,Card,0,None,0,Leisure,38,Female
BKG-0000050,CUST-000283,H001,Cinnamon Grand Colombo,Colombo,8/14/2025,11/14/2025,11/20/2025,6,92,Couple,2,Deluxe,1665.72,277.62,Shoulder,Platinum,Mobile App,Online,0,Late Check-in,0,Event,42,Male
BKG-0000051,CUST-003137,H003,Cinnamon Red Colombo,Colombo,12/8/2024,2/7/2025,2/10/2025,3,61,Couple,2,Deluxe,443.76,147.92,Shoulder,None,Mobile App,Online,0,Extra Bed,0,Business,42,Female
BKG-0000052,CUST-003329,H005,Cinnamon Bey Beruwala,West Coast,7/11/2025,9/17/2025,9/19/2025,2,68,Family,5,Family Room,398.68,199.34,Shoulder,Silver,Mobile App,Card,0,None,0,Business,30,Female
BKG-0000053,CUST-002714,H001,Cinnamon Grand Colombo,Colombo,9/15/2025,12/10/2025,12/16/2025,6,86,Couple,2,Suite,2509.86,418.31,Shoulder,Gold,Mobile App,Cash,0,None,0,Business,41,Female
BKG-0000054,CUST-004120,H001,Cinnamon Grand Colombo,Colombo,1/14/2026,4/4/2026,4/9/2026,5,80,Family,3,Suite,1902.9,380.58,Off-Peak,Gold,Website,Online,0,High Floor,0,Leisure,48,Female
BKG-0000055,CUST-002845,H001,Cinnamon Grand Colombo,Colombo,7/26/2025,10/11/2025,10/16/2025,5,77,Family,3,Suite,1820.85,364.17,Off-Peak,Platinum,Website,Online,0,Late Check-in,0,Relaxation,54,Female
BKG-0000056,CUST-002139,H002,Cinnamon Lakeside Colombo,Colombo,12/1/2025,1/29/2026,2/3/2026,5,59,Solo,1,Suite,2617.6,523.52,Peak,Gold,Mobile App,Online,0,High Floor,0,Leisure,38,Male
BKG-0000057,CUST-001993,H006,Cinnamon Citadel Kandy,Kandy,2/12/2025,4/11/2025,4/13/2025,2,58,Couple,2,Deluxe,356.08,178.04,Peak,Silver,Mobile App,Card,0,None,1,Leisure,35,Female
BKG-0000058,CUST-003705,H007,Cinnamon Wild Yala,Safari,12/21/2025,2/28/2026,3/1/2026,1,69,Family,4,Standard,211.94,211.94,Peak,Silver,Mobile App,Card,0,None,0,Leisure,42,Male
BKG-0000059,CUST-002174,H001,Cinnamon Grand Colombo,Colombo,1/13/2025,4/22/2025,4/26/2025,4,99,Couple,2,Suite,2235.12,558.78,Peak,Gold,Travel Agent,Cash,0,High Floor,0,Business,49,Female
BKG-0000060,CUST-003934,H005,Cinnamon Bey Beruwala,West Coast,10/13/2025,12/8/2025,12/9/2025,1,56,Family,5,Family Room,238.44,238.44,Peak,None,Website,Cash,0,None,1,Business,36,Male
BKG-0000061,CUST-004896,H006,Cinnamon Citadel Kandy,Kandy,8/4/2025,9/15/2025,9/19/2025,4,42,Family,4,Standard,645.6,161.4,Peak,None,Website,Card,0,None,0,Event,34,Male
BKG-0000062,CUST-004042,H002,Cinnamon Lakeside Colombo,Colombo,3/13/2025,4/29/2025,5/5/2025,6,47,Solo,1,Deluxe,1955.82,325.97,Peak,Platinum,Travel Agent,Card,0,Late Check-in,0,Business,41,Female
BKG-0000063,CUST-001444,H006,Cinnamon Citadel Kandy,Kandy,12/26/2024,3/2/2025,3/6/2025,4,66,Group,10,Family Room,926.48,231.62,Peak,Silver,Mobile App,Card,0,None,1,Leisure,48,Female
BKG-0000064,CUST-002801,H004,Cinnamon Bentota Beach,South Coast,6/1/2025,8/4/2025,8/7/2025,3,64,Couple,2,Deluxe,914.85,304.95,Holiday,Silver,Website,Card,0,None,0,Business,37,Male
BKG-0000065,CUST-000978,H005,Cinnamon Bey Beruwala,West Coast,2/18/2025,4/29/2025,5/1/2025,2,70,Family,5,Family Room,357.54,178.77,Off-Peak,None,Mobile App,Card,0,Extra Bed,0,Event,43,Male
BKG-0000066,CUST-004795,H004,Cinnamon Bentota Beach,South Coast,3/5/2025,3/25/2025,3/27/2025,2,20,Couple,2,Standard,256.96,128.48,Shoulder,Silver,Website,Card,1,None,1,Business,36,Female
BKG-0000067,CUST-004616,H001,Cinnamon Grand Colombo,Colombo,5/10/2026,7/4/2026,7/10/2026,6,55,Couple,2,Suite,2150.1,358.35,Shoulder,Gold,Travel Agent,Cash,0,Quiet Room,1,Leisure,60,Male
BKG-0000068,CUST-004294,H007,Cinnamon Wild Yala,Safari,1/4/2025,2/20/2025,2/24/2025,4,47,Couple,2,Deluxe,936.92,234.23,Peak,None,Website,Online,0,None,1,Leisure,34,Female
BKG-0000069,CUST-004327,H004,Cinnamon Bentota Beach,South Coast,10/6/2025,12/12/2025,12/14/2025,2,67,Family,5,Family Room,389.06,194.53,Off-Peak,None,Website,Online,0,None,0,Leisure,41,Female
BKG-0000070,CUST-002918,H005,Cinnamon Bey Beruwala,West Coast,10/21/2025,11/30/2025,12/2/2025,2,40,Family,3,Standard,373.84,186.92,Holiday,None,Mobile App,Online,0,Extra Bed,0,Leisure,25,Male
BKG-0000071,CUST-000152,H002,Cinnamon Lakeside Colombo,Colombo,4/8/2025,6/28/2025,7/4/2025,6,81,Family,5,Family Room,2237.52,372.92,Peak,Gold,Website,Cash,0,Quiet Room,0,Relaxation,55,Female
BKG-0000072,CUST-001906,H003,Cinnamon Red Colombo,Colombo,2/18/2025,4/11/2025,4/13/2025,2,52,Family,4,Standard,185.54,92.77,Off-Peak,None,Website,Online,1,Extra Bed,0,Leisure,42,Male
BKG-0000073,CUST-004661,H002,Cinnamon Lakeside Colombo,Colombo,9/16/2025,10/31/2025,11/1/2025,1,45,Family,4,Deluxe,328.76,328.76,Peak,None,Mobile App,Card,0,None,0,Adventure,32,Female
BKG-0000074,CUST-003526,H002,Cinnamon Lakeside Colombo,Colombo,11/24/2024,2/12/2025,2/20/2025,8,80,Couple,2,Suite,2667.52,333.44,Off-Peak,Platinum,Travel Agent,Card,0,None,0,Business,45,Female
BKG-0000075,CUST-001927,H001,Cinnamon Grand Colombo,Colombo,3/15/2025,5/13/2025,5/14/2025,1,59,Solo,1,Suite,442,442,Shoulder,Platinum,Travel Agent,Cash,0,None,0,Leisure,38,Male
BKG-0000076,CUST-000472,H002,Cinnamon Lakeside Colombo,Colombo,10/1/2025,12/28/2025,1/1/2026,4,88,Solo,1,Deluxe,788.6,197.15,Off-Peak,Platinum,Travel Agent,Online,0,Sea View,0,Business,50,Female
BKG-0000077,CUST-003224,H005,Cinnamon Bey Beruwala,West Coast,4/8/2026,5/21/2026,5/22/2026,1,43,Family,5,Family Room,152.36,152.36,Off-Peak,Silver,Mobile App,Card,0,None,1,Business,35,Male
BKG-0000078,CUST-003737,H002,Cinnamon Lakeside Colombo,Colombo,12/28/2025,2/19/2026,2/26/2026,7,53,Couple,2,Deluxe,2306.64,329.52,Peak,Gold,Travel Agent,Online,0,Quiet Room,0,Leisure,42,Female
BKG-0000079,CUST-002959,H001,Cinnamon Grand Colombo,Colombo,10/20/2025,12/17/2025,12/25/2025,8,58,Solo,1,Suite,4494.4,561.8,Peak,Gold,Website,Card,0,Quiet Room,0,Event,45,Male
BKG-0000080,CUST-001050,H006,Cinnamon Citadel Kandy,Kandy,2/16/2025,4/15/2025,4/17/2025,2,58,Family,5,Family Room,596,298,Holiday,None,Website,Card,0,None,0,Leisure,32,Other
BKG-0000081,CUST-003113,H003,Cinnamon Red Colombo,Colombo,3/24/2026,5/11/2026,5/15/2026,4,48,Family,3,Deluxe,494.64,123.66,Shoulder,Silver,Website,Card,0,None,1,Leisure,37,Female
BKG-0000082,CUST-002388,H001,Cinnamon Grand Colombo,Colombo,6/13/2025,8/28/2025,9/2/2025,5,76,Couple,2,Suite,2221.6,444.32,Shoulder,Platinum,Mobile App,Cash,0,High Floor,0,Leisure,49,Male
BKG-0000083,CUST-000265,H002,Cinnamon Lakeside Colombo,Colombo,2/4/2025,4/7/2025,4/12/2025,5,62,Couple,2,Suite,1486.9,297.38,Off-Peak,Gold,Travel Agent,Card,0,High Floor,1,Business,49,Male
BKG-0000084,CUST-004459,H002,Cinnamon Lakeside Colombo,Colombo,5/27/2025,8/13/2025,8/17/2025,4,78,Couple,2,Suite,1291.96,322.99,Off-Peak,Gold,Travel Agent,Card,0,Sea View,0,Business,35,Female
BKG-0000085,CUST-004917,H002,Cinnamon Lakeside Colombo,Colombo,4/1/2025,6/15/2025,6/18/2025,3,75,Solo,1,Suite,989.91,329.97,Off-Peak,Gold,Travel Agent,Cash,0,Sea View,0,Event,35,Male
BKG-0000086,CUST-000581,H002,Cinnamon Lakeside Colombo,Colombo,1/30/2025,5/5/2025,5/11/2025,6,95,Couple,2,Suite,2006.58,334.43,Off-Peak,Platinum,Website,Card,0,Sea View,0,Leisure,45,Male
BKG-0000087,CUST-001204,H007,Cinnamon Wild Yala,Safari,3/3/2025,4/18/2025,4/22/2025,4,46,Couple,2,Standard,625.44,156.36,Shoulder,None,Website,Cash,0,None,0,Leisure,32,Female
BKG-0000088,CUST-001208,H003,Cinnamon Red Colombo,Colombo,7/1/2025,8/31/2025,9/4/2025,4,61,Group,5,Family Room,489.96,122.49,Off-Peak,None,Walk-in,Card,0,None,1,Business,41,Female
BKG-0000089,CUST-004477,H006,Cinnamon Citadel Kandy,Kandy,8/29/2025,10/9/2025,10/13/2025,4,41,Group,10,Family Room,664.88,166.22,Shoulder,None,Website,Card,0,Extra Bed,1,Event,37,Male
BKG-0000090,CUST-003281,H003,Cinnamon Red Colombo,Colombo,5/15/2025,5/15/2025,5/16/2025,1,0,Solo,1,Standard,89.35,89.35,Shoulder,None,Website,Card,0,None,1,Business,32,Male
BKG-0000091,CUST-001900,H006,Cinnamon Citadel Kandy,Kandy,12/21/2025,1/10/2026,1/12/2026,2,20,Solo,1,Standard,321.38,160.69,Peak,None,Mobile App,Card,0,None,0,Adventure,27,Male
BKG-0000092,CUST-002711,H001,Cinnamon Grand Colombo,Colombo,11/19/2025,2/7/2026,2/11/2026,4,80,Couple,2,Suite,1555.04,388.76,Off-Peak,Gold,Mobile App,Card,0,Late Check-in,0,Event,41,Male
BKG-0000093,CUST-000296,H005,Cinnamon Bey Beruwala,West Coast,2/27/2026,3/13/2026,3/15/2026,2,14,Family,4,Standard,289.86,144.93,Peak,None,Mobile App,Online,0,None,1,Business,29,Female
BKG-0000094,CUST-002102,H001,Cinnamon Grand Colombo,Colombo,1/25/2025,4/13/2025,4/16/2025,3,78,Solo,1,Deluxe,809.4,269.8,Shoulder,Platinum,Travel Agent,Card,0,None,0,Business,46,Female
BKG-0000095,CUST-004080,H003,Cinnamon Red Colombo,Colombo,3/3/2025,5/29/2025,6/1/2025,3,87,Family,3,Standard,320.01,106.67,Shoulder,None,Website,Online,0,None,0,Business,44,Female
BKG-0000096,CUST-004519,H005,Cinnamon Bey Beruwala,West Coast,12/26/2025,2/28/2026,3/2/2026,2,64,Solo,1,Standard,336.4,168.2,Peak,None,Mobile App,Online,0,Extra Bed,0,Event,22,Female
BKG-0000097,CUST-003362,H007,Cinnamon Wild Yala,Safari,3/21/2026,5/28/2026,5/29/2026,1,68,Group,8,Family Room,256.9,256.9,Shoulder,Silver,Mobile App,Cash,0,None,0,Business,44,Female
BKG-0000098,CUST-001190,H004,Cinnamon Bentota Beach,South Coast,1/11/2026,3/15/2026,3/18/2026,3,63,Family,4,Standard,576.87,192.29,Peak,None,Website,Card,0,None,0,Leisure,,Male
BKG-0000099,CUST-001022,H001,Cinnamon Grand Colombo,Colombo,4/28/2026,7/9/2026,7/15/2026,6,72,Couple,2,Deluxe,2095.14,349.19,Peak,Gold,Travel Agent,Card,0,High Floor,0,Business,50,Female
BKG-0000100,CUST-004495,H007,Cinnamon Wild Yala,Safari,12/31/2024,2/18/2025,2/21/2025,3,49,Group,10,Family Room,666.69,222.23,Off-Peak,Silver,Mobile App,Cash,0,None,0,Leisure,41,Male
BKG-0000101,CUST-001663,H005,Cinnamon Bey Beruwala,West Coast,1/7/2026,1/30/2026,1/31/2026,1,23,Family,5,Family Room,235.26,235.26,Peak,None,Travel Agent,Card,0,None,1,Business,25,Female
BKG-0000102,CUST-003979,H002,Cinnamon Lakeside Colombo,Colombo,2/17/2025,5/5/2025,5/11/2025,6,77,Solo,1,Suite,3166.74,527.79,Peak,Platinum,Travel Agent,Cash,0,High Floor,0,Business,40,Male
BKG-0000103,CUST-001177,H003,Cinnamon Red Colombo,Colombo,4/17/2025,6/27/2025,6/29/2025,2,71,Group,9,Family Room,339.12,169.56,Shoulder,Silver,Website,Card,0,None,0,Leisure,38,Female
BKG-0000104,CUST-001354,H006,Cinnamon Citadel Kandy,Kandy,12/28/2024,2/6/2025,2/8/2025,2,40,Group,6,Family Room,380.08,190.04,Shoulder,None,Mobile App,Card,0,None,0,Leisure,32,Male
BKG-0000105,CUST-003647,H002,Cinnamon Lakeside Colombo,Colombo,8/2/2025,10/4/2025,10/9/2025,5,63,Solo,1,Suite,2014.5,402.9,Shoulder,Platinum,Website,Online,0,None,0,Leisure,50,Female
BKG-0000106,CUST-001684,H001,Cinnamon Grand Colombo,Colombo,3/25/2026,5/1/2026,5/6/2026,5,37,Family,5,Family Room,1419.2,283.84,Off-Peak,Silver,Website,Cash,1,None,0,Business,40,Male
BKG-0000107,CUST-002829,H001,Cinnamon Grand Colombo,Colombo,12/18/2024,3/19/2025,3/25/2025,6,91,Couple,2,Suite,3881.46,646.91,Holiday,Silver,Mobile App,Online,0,Late Check-in,0,Relaxation,56,Female
BKG-0000108,CUST-003369,H002,Cinnamon Lakeside Colombo,Colombo,11/11/2025,12/27/2025,1/1/2026,5,46,Couple,2,Suite,2654,530.8,Peak,Platinum,Website,Card,0,High Floor,0,Leisure,48,Female
BKG-0000109,CUST-002154,H006,Cinnamon Citadel Kandy,Kandy,12/1/2024,1/13/2025,1/15/2025,2,43,Couple,2,Standard,207.66,103.83,Off-Peak,None,Mobile App,Online,0,Extra Bed,0,Event,23,Male
BKG-0000110,CUST-002689,H005,Cinnamon Bey Beruwala,West Coast,7/6/2025,8/19/2025,8/22/2025,3,44,Couple,2,Deluxe,500.94,166.98,Shoulder,None,Mobile App,Card,0,None,0,Leisure,41,Female
BKG-0000111,CUST-000522,H006,Cinnamon Citadel Kandy,Kandy,10/3/2025,12/11/2025,12/14/2025,3,69,Group,8,Family Room,869.88,289.96,Holiday,Silver,Website,Card,0,None,0,Event,32,Female
BKG-0000112,CUST-004715,H001,Cinnamon Grand Colombo,Colombo,5/2/2026,6/6/2026,6/10/2026,4,35,Solo,1,Deluxe,1464.32,366.08,Peak,Gold,Website,Cash,0,None,0,Leisure,48,Male
BKG-0000113,CUST-002681,H001,Cinnamon Grand Colombo,Colombo,7/31/2025,10/26/2025,11/2/2025,7,87,Couple,2,Suite,3078.25,439.75,Shoulder,Gold,Mobile App,Online,0,High Floor,0,Culture,65,Male
BKG-0000114,CUST-002789,H001,Cinnamon Grand Colombo,Colombo,8/13/2025,10/21/2025,10/25/2025,4,69,Solo,1,Deluxe,1117.48,279.37,Shoulder,Platinum,Travel Agent,Cash,0,None,0,Leisure,50,Male
BKG-0000115,CUST-003075,H006,Cinnamon Citadel Kandy,Kandy,3/30/2025,4/26/2025,4/28/2025,2,27,Family,3,Standard,218.98,109.49,Off-Peak,None,Mobile App,Cash,0,None,0,Business,30,Male
BKG-0000116,CUST-003349,H005,Cinnamon Bey Beruwala,West Coast,2/18/2025,4/15/2025,4/16/2025,1,56,Family,3,Standard,108.67,108.67,Off-Peak,Silver,Mobile App,Cash,0,None,0,Business,41,Female
BKG-0000117,CUST-001159,H006,Cinnamon Citadel Kandy,Kandy,3/27/2025,6/10/2025,6/12/2025,2,75,Group,10,Family Room,463.34,231.67,Peak,None,Website,Online,0,Extra Bed,1,Leisure,34,Female
BKG-0000118,CUST-001800,H006,Cinnamon Citadel Kandy,Kandy,12/23/2025,2/19/2026,2/22/2026,3,58,Group,7,Family Room,436.32,145.44,Off-Peak,None,Website,Card,0,Extra Bed,1,Leisure,48,Female
