feedback_id,customer_id,hotel_id,hotel_name,stay_date,overall_rating,cleanliness_rating,service_rating,room_comfort_rating,staff_friendliness,value_for_money,location_rating,food_quality_rating,wifi_quality_rating,noise_level_rating,response_time_rating,would_recommend,purpose_of_visit,experience_recommendation
FDB-0007987,CUST-002667,H001,Cinnamon Grand Colombo,11/18/2024,4,4,4,4,4,3,4,4,4,3,4,1,Business,
FDB-0008629,CUST-002883,H001,Cinnamon Grand Colombo,11/18/2024,3,3,4,3,4,3,4,3,3,3,4,0,Adventure,
FDB-0009596,CUST-003220,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,3,3,3,4,3,3,4,3,1,Event,
FDB-0010779,CUST-003598,H001,Cinnamon Grand Colombo,11/18/2024,3,3,3,3,3,4,4,3,4,4,3,1,Leisure,
FDB-0010797,CUST-003603,H001,Cinnamon Grand Colombo,11/18/2024,3,3,4,3,4,3,4,3,4,2,4,1,Leisure,
FDB-0010958,CUST-003656,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,3,3,3,4,3,4,3,3,1,Event,
FDB-0011811,CUST-003933,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,3,3,4,4,3,2,3,3,0,Event,
FDB-0013532,CUST-004479,H001,Cinnamon Grand Colombo,11/18/2024,3,3,2,3,2,4,4,2,4,4,2,1,Leisure,
FDB-0014652,CUST-004826,H001,Cinnamon Grand Colombo,11/18/2024,3,3,4,3,4,3,4,2,4,4,4,1,Adventure,
FDB-0000597,CUST-000213,H006,Cinnamon Citadel Kandy,11/18/2024,3,3,4,3,4,3,4,2,2,3,4,0,Business,
FDB-0000766,CUST-000271,H005,Cinnamon Bey Beruwala,11/18/2024,3,3,3,3,3,3,4,3,4,2,3,0,Business,
FDB-0001356,CUST-000460,H005,Cinnamon Bey Beruwala,11/18/2024,3,3,2,3,2,3,4,3,3,3,2,1,Business,
FDB-0004045,CUST-001358,H003,Cinnamon Red Colombo,11/18/2024,3,3,3,3,3,3,4,3,5,3,3,0,Event,
FDB-0004800,CUST-001607,H004,Cinnamon Bentota Beach,11/18/2024,3,3,3,3,3,3,4,2,4,4,3,0,Business,
FDB-0005465,CUST-001830,H005,Cinnamon Bey Beruwala,11/18/2024,3,3,3,2,3,3,4,3,5,4,3,1,Event,
FDB-0009014,CUST-003020,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,2,3,3,4,3,5,3,3,1,Adventure,
FDB-0009081,CUST-003041,H005,Cinnamon Bey Beruwala,11/18/2024,3,3,3,3,3,3,4,3,5,3,3,0,Leisure,
FDB-0009253,CUST-003095,H005,Cinnamon Bey Beruwala,11/18/2024,3,3,3,3,3,3,4,2,4,4,3,1,Business,
FDB-0010273,CUST-003442,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,3,3,3,4,3,4,3,3,1,Leisure,
FDB-0011041,CUST-003681,H004,Cinnamon Bentota Beach,11/18/2024,4,4,4,4,4,3,5,3,4,4,4,1,Leisure,
FDB-0011699,CUST-003895,H005,Cinnamon Bey Beruwala,11/18/2024,4,4,4,4,4,3,4,4,3,4,4,1,Leisure,
FDB-0012608,CUST-004186,H001,Cinnamon Grand Colombo,11/18/2024,4,4,4,3,4,3,5,4,4,3,4,1,Business,
FDB-0012838,CUST-004260,H001,Cinnamon Grand Colombo,11/18/2024,4,4,4,4,4,3,5,4,4,4,4,1,Business,
FDB-0012864,CUST-004269,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,3,3,2,4,3,5,3,3,1,Event,
FDB-0014070,CUST-004635,H004,Cinnamon Bentota Beach,11/18/2024,4,4,4,4,4,3,4,4,2,4,4,1,Leisure,
FDB-0002580,CUST-000894,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,3,3,4,4,3,5,3,3,0,Leisure,
FDB-0003488,CUST-001188,H003,Cinnamon Red Colombo,11/18/2024,3,3,3,2,3,4,4,3,4,4,3,0,Event,
FDB-0015042,CUST-004955,H002,Cinnamon Lakeside Colombo,11/18/2024,3,3,3,3,3,4,4,2,4,4,3,0,Leisure,
FDB-0012876,CUST-004272,H002,Cinnamon Lakeside Colombo,11/19/2024,4,4,5,4,5,3,5,3,4,3,5,1,Business,
FDB-0014120,CUST-004651,H001,Cinnamon Grand Colombo,11/19/2024,4,4,5,4,5,3,4,4,4,3,5,1,Business,
FDB-0000892,CUST-000316,H006,Cinnamon Citadel Kandy,11/19/2024,4,4,4,4,4,3,4,4,2,3,4,1,Leisure,
FDB-0010757,CUST-003588,H005,Cinnamon Bey Beruwala,11/19/2024,4,4,4,4,4,3,4,4,4,3,4,1,Culture,
FDB-0012446,CUST-004135,H005,Cinnamon Bey Beruwala,11/19/2024,4,4,4,4,4,2,4,4,4,4,4,1,Relaxation,
FDB-0013701,CUST-004530,H006,Cinnamon Citadel Kandy,11/19/2024,4,4,4,4,4,3,4,4,3,3,4,1,Leisure,
FDB-0000371,CUST-000130,H007,Cinnamon Wild Yala,11/19/2024,3,3,3,3,3,4,4,3,2,3,3,1,Event,
FDB-0002940,CUST-001013,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,4,4,3,4,3,3,1,Leisure,
FDB-0003718,CUST-001263,H001,Cinnamon Grand Colombo,11/19/2024,3,3,3,3,3,3,4,3,4,4,3,0,Business,
FDB-0004759,CUST-001595,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,4,4,2,5,3,3,0,Relaxation,
FDB-0005077,CUST-001702,H001,Cinnamon Grand Colombo,11/19/2024,3,3,3,3,3,4,4,3,4,4,3,0,Relaxation,
FDB-0005159,CUST-001726,H001,Cinnamon Grand Colombo,11/19/2024,3,3,3,3,3,3,4,3,4,3,3,1,Leisure,
FDB-0005363,CUST-001794,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,3,4,3,3,4,3,1,Leisure,
FDB-0007180,CUST-002395,H001,Cinnamon Grand Colombo,11/19/2024,3,3,3,3,3,4,4,3,3,3,3,0,Leisure,
FDB-0007260,CUST-002426,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,4,4,3,4,3,3,1,Leisure,
FDB-0007941,CUST-002650,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,4,4,2,4,4,3,0,Adventure,
FDB-0008513,CUST-002841,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,3,4,3,5,3,3,1,Relaxation,
FDB-0008791,CUST-002942,H001,Cinnamon Grand Colombo,11/19/2024,3,3,3,3,3,4,4,3,5,4,3,0,Leisure,
FDB-0009923,CUST-003326,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,3,4,3,1,3,3,0,Adventure,
FDB-0011476,CUST-003826,H001,Cinnamon Grand Colombo,11/19/2024,3,3,3,3,3,3,4,2,4,4,3,1,Adventure,
FDB-0012009,CUST-004000,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,2,3,4,4,3,5,3,3,0,Leisure,
FDB-0012010,CUST-004000,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,2,3,4,5,2,5,3,3,1,Business,
FDB-0012361,CUST-004112,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,4,4,2,5,3,3,0,Event,
FDB-0000538,CUST-000185,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,3,4,3,4,4,3,0,Leisure,
FDB-0005025,CUST-001685,H001,Cinnamon Grand Colombo,11/19/2024,3,3,3,3,3,3,4,2,2,4,3,0,Adventure,
FDB-0006161,CUST-002047,H004,Cinnamon Bentota Beach,11/19/2024,3,3,3,3,3,3,4,2,4,4,3,0,Event,
FDB-0009168,CUST-003070,H005,Cinnamon Bey Beruwala,11/19/2024,3,3,3,3,3,3,4,3,2,2,3,0,Event,
FDB-0009981,CUST-003343,H006,Cinnamon Citadel Kandy,11/19/2024,3,3,3,3,3,3,4,3,4,4,3,1,Business,
FDB-0011465,CUST-003825,H004,Cinnamon Bentota Beach,11/19/2024,3,3,2,3,2,3,5,3,4,3,2,0,Leisure,
FDB-0013358,CUST-004424,H004,Cinnamon Bentota Beach,11/19/2024,3,3,3,3,3,3,4,3,4,4,3,0,Event,
FDB-0014149,CUST-004661,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,3,4,2,3,3,3,1,Leisure,
FDB-0005956,CUST-001983,H002,Cinnamon Lakeside Colombo,11/19/2024,3,3,3,3,3,4,4,2,3,4,3,0,Event,
FDB-0007615,CUST-002546,H004,Cinnamon Bentota Beach,11/19/2024,3,3,3,3,3,3,4,2,4,3,3,0,Business,
FDB-0008289,CUST-002767,H006,Cinnamon Citadel Kandy,11/19/2024,3,3,3,2,3,3,4,3,3,3,3,0,Leisure,
FDB-0013757,CUST-004544,H003,Cinnamon Red Colombo,11/19/2024,3,3,2,3,2,3,4,3,3,3,2,0,Leisure,
FDB-0001489,CUST-000504,H002,Cinnamon Lakeside Colombo,11/20/2024,4,4,4,4,4,3,4,4,4,3,4,1,Business,
FDB-0000100,CUST-000038,H006,Cinnamon Citadel Kandy,11/20/2024,4,4,5,4,5,3,4,4,4,4,5,1,Culture,"We want your experience to feel seamless, from immaculate rooms to fresh and inviting meals."
FDB-0001687,CUST-000578,H003,Cinnamon Red Colombo,11/20/2024,3,3,3,3,3,3,4,3,3,3,3,1,Leisure,
FDB-0001893,CUST-000646,H006,Cinnamon Citadel Kandy,11/20/2024,3,3,2,3,2,2,4,2,3,4,2,1,Business,
FDB-0002350,CUST-000810,H006,Cinnamon Citadel Kandy,11/20/2024,4,4,4,4,4,3,4,4,4,3,4,1,Business,
FDB-0011345,CUST-003784,H003,Cinnamon Red Colombo,11/20/2024,3,3,3,2,3,3,4,3,2,3,3,0,Event,
FDB-0011727,CUST-003904,H006,Cinnamon Citadel Kandy,11/20/2024,3,3,3,2,3,3,4,3,4,3,3,1,Relaxation,
FDB-0012692,CUST-004211,H005,Cinnamon Bey Beruwala,11/20/2024,3,3,3,3,3,3,4,2,5,3,3,1,Business,
FDB-0000336,CUST-000117,H001,Cinnamon Grand Colombo,11/20/2024,3,3,3,3,3,3,4,3,4,4,3,1,Leisure,
FDB-0001295,CUST-000438,H001,Cinnamon Grand Colombo,11/20/2024,4,4,5,4,5,3,5,4,4,3,5,1,Business,
FDB-0001690,CUST-000579,H001,Cinnamon Grand Colombo,11/20/2024,3,3,3,3,3,3,4,3,4,3,3,0,Culture,
FDB-0002025,CUST-000701,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,3,3,4,4,3,5,4,3,0,Leisure,
FDB-0003450,CUST-001174,H001,Cinnamon Grand Colombo,11/20/2024,3,3,3,3,3,3,4,2,3,3,3,1,Leisure,
FDB-0003998,CUST-001345,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,3,3,4,4,3,5,4,3,1,Leisure,
FDB-0006872,CUST-002286,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,3,3,3,4,2,3,4,3,0,Leisure,
FDB-0010227,CUST-003424,H001,Cinnamon Grand Colombo,11/20/2024,3,3,3,3,3,3,4,3,5,4,3,0,Leisure,
FDB-0010234,CUST-003426,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,3,3,3,4,3,4,4,3,1,Leisure,
FDB-0010451,CUST-003495,H001,Cinnamon Grand Colombo,11/20/2024,3,3,3,2,3,4,4,3,2,3,3,0,Event,
FDB-0010846,CUST-003616,H001,Cinnamon Grand Colombo,11/20/2024,3,3,2,3,2,3,4,2,5,2,2,0,Leisure,
FDB-0014559,CUST-004793,H001,Cinnamon Grand Colombo,11/20/2024,3,3,3,3,3,4,4,3,4,4,3,0,Event,
FDB-0015082,CUST-004967,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,2,3,3,4,3,5,3,3,1,Culture,
FDB-0002099,CUST-000726,H005,Cinnamon Bey Beruwala,11/20/2024,4,4,4,4,4,3,4,4,4,4,4,1,Leisure,
FDB-0002854,CUST-000988,H005,Cinnamon Bey Beruwala,11/20/2024,4,4,4,4,4,3,4,4,3,4,4,1,Leisure,
FDB-0003871,CUST-001308,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,3,3,3,4,3,5,4,3,1,Event,
FDB-0004479,CUST-001506,H001,Cinnamon Grand Colombo,11/20/2024,4,4,4,4,4,3,4,4,3,4,4,1,Leisure,
FDB-0006691,CUST-002231,H003,Cinnamon Red Colombo,11/20/2024,4,4,4,4,4,4,5,4,4,4,4,1,Business,
FDB-0006765,CUST-002253,H003,Cinnamon Red Colombo,11/20/2024,3,3,2,2,2,4,4,3,3,3,2,0,Adventure,
FDB-0006968,CUST-002323,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,3,3,3,4,3,5,4,3,1,Leisure,
FDB-0010727,CUST-003579,H007,Cinnamon Wild Yala,11/20/2024,4,4,4,3,4,3,4,3,2,3,4,1,Leisure,
FDB-0014214,CUST-004684,H001,Cinnamon Grand Colombo,11/20/2024,4,4,5,4,5,3,4,3,2,3,5,1,Event,
FDB-0014944,CUST-004923,H007,Cinnamon Wild Yala,11/20/2024,3,3,3,3,3,3,4,3,3,3,3,1,Culture,
FDB-0015100,CUST-004972,H003,Cinnamon Red Colombo,11/20/2024,4,4,4,4,4,3,4,4,3,4,4,1,Business,
FDB-0000550,CUST-000194,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,2,3,3,4,3,4,4,3,1,Culture,"Enjoy every moment with pristine rooms, top-notch food, and uninterrupted WiFi access."
FDB-0002606,CUST-000903,H006,Cinnamon Citadel Kandy,11/20/2024,3,3,3,3,3,4,4,2,4,3,3,0,Relaxation,
FDB-0004956,CUST-001664,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,3,3,3,4,3,5,3,3,0,Leisure,
FDB-0006344,CUST-002109,H002,Cinnamon Lakeside Colombo,11/20/2024,3,3,3,2,3,4,4,2,4,4,3,1,Adventure,
FDB-0008516,CUST-002842,H006,Cinnamon Citadel Kandy,11/20/2024,3,3,3,3,3,3,4,3,3,4,3,0,Business,
FDB-0009180,CUST-003073,H001,Cinnamon Grand Colombo,11/20/2024,3,3,2,3,2,3,4,3,5,3,2,0,Culture,
FDB-0010390,CUST-003475,H001,Cinnamon Grand Colombo,11/20/2024,3,3,3,3,3,3,4,2,4,4,3,0,Event,
FDB-0012483,CUST-004148,H001,Cinnamon Grand Colombo,11/20/2024,3,3,2,3,2,4,4,2,3,2,2,0,Leisure,
FDB-0003975,CUST-001339,H002,Cinnamon Lakeside Colombo,11/21/2024,4,4,4,4,4,3,4,4,5,3,4,1,Event,
FDB-0009933,CUST-003328,H001,Cinnamon Grand Colombo,11/21/2024,4,4,5,4,5,4,4,4,4,4,5,1,Business,
FDB-0011491,CUST-003833,H002,Cinnamon Lakeside Colombo,11/21/2024,4,4,4,4,4,4,5,4,4,4,4,1,Business,
FDB-0012169,CUST-004051,H002,Cinnamon Lakeside Colombo,11/21/2024,4,4,4,3,4,4,4,4,5,3,4,1,Business,
FDB-0014004,CUST-004613,H001,Cinnamon Grand Colombo,11/21/2024,4,4,4,3,4,4,4,4,4,3,4,1,Business,
FDB-0015026,CUST-004950,H002,Cinnamon Lakeside Colombo,11/21/2024,4,4,4,4,4,4,5,4,4,2,4,1,Business,
FDB-0000163,CUST-000057,H006,Cinnamon Citadel Kandy,11/21/2024,3,3,3,3,3,3,4,2,2,3,3,1,Leisure,We aim to make your stay truly worthwhile with consistently high standards in all areas.
FDB-0002511,CUST-000868,H005,Cinnamon Bey Beruwala,11/21/2024,3,3,2,3,2,2,4,3,3,4,2,0,Adventure,
FDB-0007487,CUST-002505,H006,Cinnamon Citadel Kandy,11/21/2024,4,4,4,3,4,3,4,3,4,3,4,1,Leisure,
FDB-0007717,CUST-002577,H005,Cinnamon Bey Beruwala,11/21/2024,4,4,4,4,4,3,4,4,2,4,4,1,Leisure,
FDB-0008131,CUST-002712,H006,Cinnamon Citadel Kandy,11/21/2024,4,4,4,4,4,3,4,3,3,4,4,1,Leisure,
FDB-0008801,CUST-002946,H006,Cinnamon Citadel Kandy,11/21/2024,4,4,5,4,5,3,4,4,4,3,5,1,Leisure,
FDB-0011368,CUST-003793,H003,Cinnamon Red Colombo,11/21/2024,3,3,3,3,3,3,4,2,3,3,3,0,Leisure,
FDB-0011806,CUST-003932,H006,Cinnamon Citadel Kandy,11/21/2024,4,4,4,3,4,3,4,3,4,3,4,1,Leisure,
FDB-0012014,CUST-004001,H005,Cinnamon Bey Beruwala,11/21/2024,4,4,4,4,4,3,4,3,1,4,4,1,Leisure,
FDB-0012895,CUST-004278,H006,Cinnamon Citadel Kandy,11/21/2024,4,4,4,4,4,3,4,4,4,4,4,1,Leisure,
FDB-0000726,CUST-000261,H001,Cinnamon Grand Colombo,11/21/2024,3,3,4,2,4,3,4,2,2,4,4,0,Event,
FDB-0002625,CUST-000910,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,3,3,3,4,5,3,5,3,3,1,Business,
FDB-0002903,CUST-001002,H001,Cinnamon Grand Colombo,11/21/2024,4,4,4,3,4,4,5,4,4,3,4,1,Business,
FDB-0003892,CUST-001315,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,2,3,2,4,4,2,5,4,2,1,Business,
FDB-0004911,CUST-001646,H001,Cinnamon Grand Colombo,11/21/2024,4,4,5,4,5,3,5,4,5,4,5,1,Business,
FDB-0005734,CUST-001915,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,3,3,3,4,4,2,4,4,3,1,Leisure,
FDB-0005865,CUST-001957,H001,Cinnamon Grand Colombo,11/21/2024,3,3,3,3,3,3,4,2,2,4,3,0,Event,
FDB-0007185,CUST-002395,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,3,3,3,3,4,2,4,3,3,1,Leisure,
FDB-0007197,CUST-002401,H002,Cinnamon Lakeside Colombo,11/21/2024,4,4,4,4,4,3,5,4,4,4,4,1,Business,
FDB-0008771,CUST-002933,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,3,3,3,3,4,3,4,3,3,0,Event,
FDB-0009113,CUST-003050,H003,Cinnamon Red Colombo,11/21/2024,3,3,3,3,3,3,4,2,4,4,3,0,Adventure,
FDB-0009725,CUST-003267,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,4,3,4,4,4,3,5,4,4,1,Leisure,
FDB-0009820,CUST-003294,H001,Cinnamon Grand Colombo,11/21/2024,3,3,4,3,4,3,4,3,4,4,4,1,Leisure,
FDB-0010581,CUST-003537,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,3,3,3,4,4,2,4,3,3,0,Leisure,
FDB-0010601,CUST-003544,H001,Cinnamon Grand Colombo,11/21/2024,3,3,3,3,3,4,4,3,4,4,3,0,Leisure,
FDB-0011763,CUST-003917,H001,Cinnamon Grand Colombo,11/21/2024,3,3,3,3,3,3,4,2,4,3,3,0,Leisure,
FDB-0013620,CUST-004503,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,3,3,3,3,5,3,5,4,3,1,Business,
FDB-0014328,CUST-004719,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,3,3,3,4,4,3,4,2,3,1,Leisure,
FDB-0014804,CUST-004874,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,3,3,3,4,4,2,5,3,3,1,Adventure,
FDB-0000052,CUST-000020,H007,Cinnamon Wild Yala,11/21/2024,3,3,3,3,3,4,5,2,3,3,3,1,Leisure,
FDB-0002248,CUST-000776,H003,Cinnamon Red Colombo,11/21/2024,3,3,3,3,3,4,4,3,5,3,3,0,Leisure,
FDB-0003143,CUST-001076,H006,Cinnamon Citadel Kandy,11/21/2024,3,3,3,2,3,3,4,2,4,3,3,1,Culture,
FDB-0003160,CUST-001079,H002,Cinnamon Lakeside Colombo,11/21/2024,4,4,4,4,4,3,4,4,3,4,4,1,Business,
FDB-0003954,CUST-001333,H003,Cinnamon Red Colombo,11/21/2024,3,3,3,3,3,4,4,3,2,4,3,1,Relaxation,
FDB-0006014,CUST-002003,H005,Cinnamon Bey Beruwala,11/21/2024,3,3,3,3,3,3,5,2,3,4,3,0,Leisure,
FDB-0006641,CUST-002212,H006,Cinnamon Citadel Kandy,11/21/2024,3,3,3,3,3,3,4,3,3,4,3,1,Leisure,
FDB-0007152,CUST-002387,H002,Cinnamon Lakeside Colombo,11/21/2024,3,3,3,3,3,3,4,3,3,3,3,0,Adventure,
FDB-0010175,CUST-003408,H001,Cinnamon Grand Colombo,11/21/2024,3,3,3,3,3,3,4,3,4,3,3,0,Leisure,
FDB-0010611,CUST-003546,H005,Cinnamon Bey Beruwala,11/21/2024,4,4,4,4,4,3,4,3,3,3,4,1,Leisure,
FDB-0010662,CUST-003558,H007,Cinnamon Wild Yala,11/21/2024,4,4,4,3,4,4,4,3,4,4,4,1,Leisure,
FDB-0013538,CUST-004480,H007,Cinnamon Wild Yala,11/21/2024,3,3,3,3,3,3,4,3,4,4,3,0,Culture,
FDB-0013665,CUST-004517,H007,Cinnamon Wild Yala,11/21/2024,4,4,4,4,4,2,5,4,3,4,4,1,Leisure,
FDB-0014945,CUST-004923,H002,Cinnamon Lakeside Colombo,11/21/2024,4,4,4,4,4,3,4,3,2,4,4,1,Business,
FDB-0015134,CUST-004984,H006,Cinnamon Citadel Kandy,11/21/2024,3,3,3,3,3,4,4,2,5,3,3,1,Leisure,
FDB-0004926,CUST-001652,H004,Cinnamon Bentota Beach,11/21/2024,3,3,3,3,3,3,5,2,5,3,3,0,Leisure,
FDB-0005171,CUST-001730,H005,Cinnamon Bey Beruwala,11/21/2024,3,3,3,2,3,4,4,3,3,4,3,1,Business,
FDB-0007468,CUST-002499,H007,Cinnamon Wild Yala,11/21/2024,3,3,4,2,4,3,4,3,4,3,4,1,Event,
FDB-0010955,CUST-003655,H005,Cinnamon Bey Beruwala,11/21/2024,3,3,3,3,3,3,4,2,3,1,3,0,Business,
FDB-0009332,CUST-003122,H002,Cinnamon Lakeside Colombo,11/22/2024,4,4,4,4,4,4,5,4,5,4,4,1,Business,
FDB-0011378,CUST-003797,H001,Cinnamon Grand Colombo,11/22/2024,4,4,5,4,5,4,5,3,3,3,5,1,Business,
FDB-0000020,CUST-000007,H006,Cinnamon Citadel Kandy,11/22/2024,4,4,4,4,4,3,4,4,2,4,4,1,Event,"We hope our commitment to the details, from the reliable WiFi to the fresh buffet, ensured your entire experience felt consistently valuable and worth your investment."
FDB-0007261,CUST-002427,H005,Cinnamon Bey Beruwala,11/22/2024,4,4,5,4,5,3,4,3,2,4,5,1,Leisure,
FDB-0008105,CUST-002704,H003,Cinnamon Red Colombo,11/22/2024,3,3,3,3,3,3,4,3,3,3,3,0,Leisure,
FDB-0008349,CUST-002787,H003,Cinnamon Red Colombo,11/22/2024,3,3,3,2,3,3,4,3,4,4,3,1,Relaxation,
FDB-0010471,CUST-003503,H005,Cinnamon Bey Beruwala,11/22/2024,4,4,4,3,4,3,5,3,3,3,4,1,Relaxation,
FDB-0012552,CUST-004167,H003,Cinnamon Red Colombo,11/22/2024,3,3,3,3,3,3,4,3,3,3,3,1,Event,
FDB-0001744,CUST-000595,H001,Cinnamon Grand Colombo,11/22/2024,3,3,3,3,3,4,4,3,4,3,3,1,Relaxation,
FDB-0001907,CUST-000650,H002,Cinnamon Lakeside Colombo,11/22/2024,3,3,3,3,3,4,5,2,4,4,3,0,Business,
FDB-0002027,CUST-000701,H002,Cinnamon Lakeside Colombo,11/22/2024,4,4,4,4,4,4,5,4,4,4,4,1,Business,
FDB-0004001,CUST-001345,H001,Cinnamon Grand Colombo,11/22/2024,3,3,3,3,3,4,4,3,5,4,3,1,Relaxation,
FDB-0005346,CUST-001790,H001,Cinnamon Grand Colombo,11/22/2024,3,3,3,3,3,4,4,2,4,4,3,0,Event,
FDB-0005638,CUST-001886,H002,Cinnamon Lakeside Colombo,11/22/2024,3,3,3,3,3,3,4,3,5,3,3,1,Event,
FDB-0006497,CUST-002161,H001,Cinnamon Grand Colombo,11/22/2024,3,3,3,3,3,4,4,3,5,4,3,1,Event,
FDB-0008271,CUST-002760,H002,Cinnamon Lakeside Colombo,11/22/2024,3,3,3,2,3,4,4,2,4,3,3,1,Event,
FDB-0010139,CUST-003398,H002,Cinnamon Lakeside Colombo,11/22/2024,3,3,3,3,3,3,4,3,3,3,3,0,Adventure,
FDB-0010185,CUST-003411,H002,Cinnamon Lakeside Colombo,11/22/2024,3,3,3,3,3,4,4,2,5,3,3,0,Business,
